headword,sublist,pos,jp_meaning
image,5,n,イメージ;画像
liberal,5,adj,リベラルな;自由な
licence,5,n,免許;許可
logic,5,n,論理
margin,5,n,余白;利幅
medical,5,adj,医療の
mental,5,adj,精神の
modify,5,v,修正する
monitor,5,v;n,監視する;モニター
network,5,n,ネットワーク
notion,5,n,概念;考え
objective,5,n;adj,目的;客観的な
orient,5,v,方向づける
perspective,5,n,視点
precise,5,adj,正確な
prime,5,adj,主要な;最高の
psychology,5,n,心理学
pursue,5,v,追求する
ratio,5,n,比率
reject,5,v,拒絶する
revenue,5,n,収益
stable,5,adj,安定した
style,5,n,スタイル
substitute,5,n;v,代用品;代用する
sustain,5,v,維持する
symbol,5,n,シンボル
target,5,n;v,標的;ターゲットにする
transit,5,n,輸送
trend,5,n,傾向;トレンド
version,5,n,版;バージョン
welfare,5,n,福祉
whereas,5,conj,一方で
abstract,6,adj;n,抽象的な;要約
accurate,6,adj,正確な
acknowledge,6,v,認める;認識する
aggregate,6,n;adj,集合体;合計の
allocate,6,v,割り当てる
assign,6,v,割り当てる
attach,6,v,取り付ける;添付する
author,6,n,著者
bond,6,n,結合;絆
brief,6,adj,簡潔な
capable,6,adj,有能な
cite,6,v,引用する
cooperate,6,v,協力する
discriminate,6,v,差別する;識別する
display,6,v;n,表示する;展示
diverse,6,adj,多様な
domain,6,n,領域
edit,6,v,編集する
enhance,6,v,高める
estate,6,n,財産;土地
exceed,6,v,超える
expert,6,n,専門家
explicit,6,adj,明示的な
federal,6,adj,連邦の
fee,6,n,料金
flexible,6,adj,柔軟な
furthermore,6,adv,さらに
gender,6,n,ジェンダー;性別
ignorant,6,adj,無知な
incentive,6,n,動機;インセンティブ
incidence,6,n,発生率
incorporate,6,v,組み込む;法人化する
index,6,n,索引;指数
inhibit,6,v,抑制する
initiate,6,v,開始する
input,6,n,入力
instruct,6,v,指示する
intelligent,6,adj,知的な
interval,6,n,間隔
lecture,6,n,講義
migrate,6,v,移住する
minimum,6,n;adj,最小;最小の
ministry,6,n,省;聖職
motive,6,n,動機
neutral,6,adj,中立の
nevertheless,6,adv,それにもかかわらず
overseas,6,adv;adj,海外で;海外の
precede,6,v,先行する
presume,6,v,推定する
rational,6,adj,合理的な
recover,6,v,回復する
reveal,6,v,明らかにする
scope,6,n,範囲
subsidy,6,n,補助金
tape,6,n,テープ
trace,6,v;n,追跡する;跡
transform,6,v,変換する
transport,6,n;v,輸送;輸送する
underlie,6,v,根底にある
utilise,6,v,利用する
adapt,7,v,適応する
adult,7,n,成人
advocate,7,n;v,提唱者;主張する
aid,7,n;v,援助;援助する
channel,7,n,チャンネル;経路
chemical,7,n;adj,化学物質;化学の
classic,7,adj,古典的な
comprehensive,7,adj,包括的な
comprise,7,v,構成する;含む
confirm,7,v,確認する
contrary,7,adj,反対の
convert,7,v,変換する
couple,7,n,組;カップル
decade,7,n,10年
definite,7,adj,明確な
deny,7,v,否定する
differentiate,7,v,区別する
dispose,7,v,処分する;配置する
dynamic,7,adj,動的な
eliminate,7,v,排除する
empirical,7,adj,経験的な
equip,7,v,装備する
extract,7,v;n,抽出する;抜粋
file,7,n,ファイル
finite,7,adj,有限の
foundation,7,n,基礎;財団
globe,7,n,地球;球
grade,7,n,等級;成績
guarantee,7,v;n,保証する;保証
hierarchy,7,n,階層
identical,7,adj,同一の
ideology,7,n,イデオロギー
infer,7,v,推論する
innovate,7,v,革新する
insert,7,v,挿入する
intervene,7,v,介入する
isolate,7,v,孤立させる;分離する
media,7,n,メディア
mode,7,n,様式;モード
paradigm,7,n,パラダイム
phenomenon,7,n,現象
priority,7,n,優先順位
prohibit,7,v,禁止する
publication,7,n,出版;刊行物
quote,7,v;n,引用する;引用
release,7,v,解放する;公開する
reverse,7,v;adj,逆にする;逆の
simulate,7,v,模擬する
sole,7,adj,唯一の
somewhat,7,adv,いくぶん
submit,7,v,提出する;服従する
successor,7,n,後継者
survive,7,v,生き残る
thesis,7,n,論文;命題
topic,7,n,話題
transmit,7,v,送信する
ultimate,7,adj,究極の
unique,7,adj,独特の
visible,7,adj,目に見える
voluntary,7,adj,自発的な
abandon,8,v,捨てる;放棄する
accompany,8,v,同伴する
accumulate,8,v,蓄積する
ambiguous,8,adj,曖昧な
append,8,v,付け加える
appreciate,8,v,真価を認める;感謝する
arbitrary,8,adj,任意の;恣意的な
automate,8,v,自動化する
bias,8,n,偏見;バイアス
chart,8,n,図表
clarify,8,v,明確にする
commodity,8,n,商品;日用品
complement,8,n;v,補完物;補完する
conform,8,v,順応する
contemporary,8,adj,現代の
contradict,8,v,矛盾する
crucial,8,adj,重要な;決定的な
currency,8,n,通貨
denote,8,v,意味する;表す
detect,8,v,検出する
deviate,8,v,逸脱する
displace,8,v,置き換える
drama,8,n,劇;ドラマ
eventual,8,adj,最終的な
exhibit,8,v;n,展示する;展示
exploit,8,v,搾取する;活用する
fluctuate,8,v,変動する
guideline,8,n,指針
highlight,8,v;n,強調する;ハイライト
implicit,8,adj,暗黙の
induce,8,v,引き起こす;誘発する
inevitable,8,adj,避けられない
infrastructure,8,n,インフラ
inspect,8,v,検査する
intense,8,adj,激しい
manipulate,8,v,操作する
minimise,8,v,最小化する
nuclear,8,adj,核の
offset,8,v,相殺する
paragraph,8,n,段落
plus,8,prep,加えて
practitioner,8,n,実践者;開業医
predominant,8,adj,優勢な
prospect,8,n,見込み
radical,8,adj,根本的な;急進的な
random,8,adj,ランダムな
reinforce,8,v,強化する
restore,8,v,回復させる
revise,8,v,改訂する
schedule,8,n,予定
tense,8,adj;n,緊張した;時制
terminate,8,v,終了させる
theme,8,n,テーマ
thereby,8,adv,それによって
uniform,8,adj;n,均一の;制服
vehicle,8,n,乗り物;媒体
via,8,prep,経由で
virtual,8,adj,仮想の
visual,8,adj,視覚の
widespread,8,adj,広範囲の
accommodate,9,v,収容する;適応させる
analogy,9,n,類推
anticipate,9,v,予測する
assure,9,v,保証する
attain,9,v,達成する
behalf,9,n,(on behalf of)を代表して
bulk,9,n,大部分;かさ
cease,9,v,やめる;停止する
coherent,9,adj,首尾一貫した
coincide,9,v,一致する
commence,9,v,開始する
compatible,9,adj,互換性のある
concurrent,9,adj,同時の
confine,9,v,制限する
controversy,9,n,論争
converse,9,n;v,逆;会話する
device,9,n,装置
devote,9,v,捧げる
diminish,9,v,減少する
distort,9,v,歪める
duration,9,n,期間
erode,9,v,浸食する
ethic,9,n,倫理
format,9,n,形式
found,9,v,設立する
inherent,9,adj,固有の
insight,9,n,洞察
integral,9,adj,不可欠な;統合的な
intermediate,9,adj,中間の
manual,9,adj;n,手の;マニュアル
mature,9,adj,成熟した
mediate,9,v,仲介する
medium,9,n,媒体
military,9,adj,軍の
minimal,9,adj,最小の
mutual,9,adj,相互の
norm,9,n,規範
overlap,9,v;n,重なる;重複
passive,9,adj,受動的な
portion,9,n,部分
preliminary,9,adj,予備の
protocol,9,n,プロトコル
qualitative,9,adj,質的な
refine,9,v,精製する;洗練する
relax,9,v,くつろぐ;緩和する
restrain,9,v,抑制する
revolution,9,n,革命
rigid,9,adj,硬い
route,9,n,経路
scenario,9,n,シナリオ
sphere,9,n,球;領域
subordinate,9,adj,下位の
supplement,9,n;v,補足;補う
suspend,9,v,中断する;吊るす
team,9,n,チーム
temporary,9,adj,一時的な
trigger,9,v;n,引き起こす;引き金
unify,9,v,統一する
violate,9,v,違反する
vision,9,n,視覚;ビジョン
adjacent,10,adj,隣接した
albeit,10,conj,であるけれども
assemble,10,v,組み立てる;集める
collapse,10,v,崩壊する
colleague,10,n,同僚
compile,10,v,編纂する
conceive,10,v,思いつく;妊娠する
convince,10,v,確信させる
depress,10,v,落胆させる
encounter,10,v,出会う
enormous,10,adj,巨大な
forthcoming,10,adj,来るべき
incline,10,v,傾く;傾向がある
integrity,10,n,誠実;完全性
intrinsic,10,adj,本質的な
invoke,10,v,呼び起こす;発動する
levy,10,n;v,税金;課税する
likewise,10,adv,同様に
nonetheless,10,adv,それにもかかわらず
notwithstanding,10,prep,にもかかわらず
odd,10,adj,奇妙な;奇数の
ongoing,10,adj,進行中の
panel,10,n,パネル
persist,10,v,持続する
pose,10,v,(問題を)提起する;ポーズをとる
reluctance,10,n,気乗りしないこと
so-called,10,adj,いわゆる
straightforward,10,adj,率直な
undergo,10,v,(経験を)受ける
whereby,10,adv,それによって
abolish,11,v,廃止する
absorb,11,v,吸収する
accelerate,11,v,加速する
accuse,11,v,非難する;告発する
address,11,v,対処する;扱う
admire,11,v,称賛する
admit,11,v,認める
advance,11,v,前進する
afford,11,v,余裕がある
allege,11,v,主張する
appeal,11,v,訴える
appoint,11,v,任命する
approve,11,v,承認する
arise,11,v,生じる
articulate,11,v,明確に述べる
ascertain,11,v,確かめる
assert,11,v,主張する
attempt,11,v,試みる
avoid,11,v,避ける
await,11,v,待つ
betray,11,v,裏切る
blame,11,v,責める
boost,11,v,押し上げる
borrow,11,v,借りる
breach,11,v,違反する
broaden,11,v,広げる
bury,11,v,埋める
capture,11,v,捕らえる
characterize,11,v,特徴づける
cherish,11,v,大切にする
claim,11,v,主張する
collide,11,v,衝突する
compel,11,v,強いる
compete,11,v,競争する
comprehend,11,v,理解する
compose,11,v,構成する
compromise,11,v,妥協する
conceal,11,v,隠す
condemn,11,v,非難する
confess,11,v,告白する
confront,11,v,直面する
conserve,11,v,保存する
contemplate,11,v,熟考する
convey,11,v,伝える
convict,11,v,有罪を宣告する
cope,11,v,対処する
counter,11,v,反対する
cultivate,11,v,耕す;育てる
decay,11,v,腐敗する
dedicate,11,v,捧げる
defeat,11,v,打ち負かす
defend,11,v,守る
delay,11,v,遅らせる
deliver,11,v,届ける
demolish,11,v,取り壊す
depict,11,v,描く
descend,11,v,下りる
deserve,11,v,値する
designate,11,v,指定する
deter,11,v,抑止する
deteriorate,11,v,悪化する
devastate,11,v,荒廃させる
devise,11,v,考案する
diagnose,11,v,診断する
differ,11,v,異なる
discharge,11,v,排出する
disclose,11,v,開示する
discourage,11,v,落胆させる
dismiss,11,v,解雇する;却下する
disregard,11,v,無視する
dissolve,11,v,溶ける
distinguish,11,v,区別する
divert,11,v,そらす
doubt,12,v,疑う
embark,12,v,着手する
embrace,12,v,抱く;受け入れる
emit,12,v,放出する
empower,12,v,権限を与える
enclose,12,v,囲む
endanger,12,v,危険にさらす
endure,12,v,耐える
engage,12,v,従事する
enrich,12,v,豊かにする
enroll,12,v,登録する
entail,12,v,伴う
entitle,12,v,権利を与える
envelop,12,v,包む
erupt,12,v,噴出する
exaggerate,12,v,誇張する
examine,12,v,調べる
expel,12,v,追放する
expire,12,v,期限切れになる
fabricate,12,v,でっち上げる
fade,12,v,色あせる
fascinate,12,v,魅了する
flourish,12,v,栄える
forbid,12,v,禁じる
foster,12,v,育てる
fulfill,12,v,果たす
furnish,12,v,備え付ける
gather,12,v,集める
govern,12,v,統治する
grasp,12,v,つかむ
hamper,12,v,妨げる
hesitate,12,v,ためらう
hinder,12,v,妨げる
hover,12,v,空中にとどまる
ignite,12,v,点火する
illuminate,12,v,照らす
imitate,12,v,真似る
immerse,12,v,浸す
impair,12,v,損なう
imprison,12,v,投獄する
incur,12,v,招く
inflict,12,v,与える
inhabit,12,v,住む
inherit,12,v,受け継ぐ
inscribe,12,v,刻む
instigate,12,v,扇動する
invade,12,v,侵略する
invent,12,v,発明する
irrigate,12,v,灌漑する
abundant,13,adj,豊富な
absolute,13,adj,絶対的な
accidental,13,adj,偶然の
acute,13,adj,鋭い;深刻な
ample,13,adj,十分な
artificial,13,adj,人工的な
authentic,13,adj,本物の
barren,13,adj,不毛の
benign,13,adj,良性の;優しい
brilliant,13,adj,輝かしい
brutal,13,adj,残酷な
chronic,13,adj,慢性の
collective,13,adj,集合的な
compact,13,adj,小型の
controversial,13,adj,論争の的になる
curious,13,adj,好奇心の強い
deceptive,13,adj,人を欺くような
delicate,13,adj,繊細な
desperate,13,adj,絶望的な
diligent,13,adj,勤勉な
dramatic,13,adj,劇的な
durable,13,adj,耐久性のある
eager,13,adj,熱心な
elaborate,13,adj,精巧な
elegant,13,adj,優雅な
enthusiastic,13,adj,熱狂的な
essential,13,adj,本質的な
ethical,13,adj,倫理的な
exclusive,13,adj,排他的な
extinct,13,adj,絶滅した
extraordinary,13,adj,並外れた
fatal,13,adj,致命的な
feasible,13,adj,実行可能な
fertile,13,adj,肥沃な
fierce,13,adj,激しい
firm,13,adj,堅固な
fragile,13,adj,壊れやすい
frequent,13,adj,頻繁な
generous,13,adj,寛大な
genuine,13,adj,本物の
gradual,13,adj,徐々の
harsh,13,adj,厳しい
hostile,13,adj,敵対的な
humble,13,adj,謙虚な
ideal,13,adj,理想的な
immense,13,adj,巨大な
imminent,13,adj,差し迫った
intricate,13,adj,複雑な
keen,13,adj,鋭い
massive,13,adj,巨大な
modest,13,adj,謙虚な
naive,13,adj,世間知らずの
notable,13,adj,注目すべき
notorious,13,adj,悪名高い
ability,14,n,能力
absence,14,n,不在
accomplishment,14,n,達成
advantage,14,n,利点
adventure,14,n,冒険
agency,14,n,機関
alliance,14,n,同盟
ambition,14,n,野心
ambiguity,14,n,曖昧さ
anxiety,14,n,不安
appearance,14,n,外見;出現
appetite,14,n,食欲;欲求
arena,14,n,競技場;舞台
arrogance,14,n,傲慢
asset,14,n,資産
assumption,14,n,仮定
asylum,14,n,亡命
atmosphere,14,n,大気;雰囲気
audience,14,n,聴衆
awareness,14,n,認識
barrier,14,n,障壁
breakthrough,14,n,大躍進
breed,14,n;v,品種;繁殖する
burden,14,n,負担
canopy,14,n,天蓋
catastrophe,14,n,大惨事
caution,14,n,注意
ceremony,14,n,儀式
chamber,14,n,部屋;会議所
choice,14,n,選択
clue,14,n,手がかり
coincidence,14,n,偶然の一致
commerce,14,n,商業
commitment,14,n,献身;約束
companion,14,n,仲間
complexity,14,n,複雑さ
conscience,14,n,良心
consequence,14,n,結果
contempt,14,n,軽蔑
convention,14,n,慣習;大会
courage,14,n,勇気
crisis,14,n,危機
custom,14,n,慣習
debris,14,n,残骸
decision,14,n,決定
deficit,14,n,不足
descent,14,n,降下;血統
detail,14,n,詳細
detection,14,n,検出
deterioration,14,n,悪化
discipline,14,n,規律;訓練
discrimination,14,n,差別
disease,14,n,病気
disgust,14,n,嫌悪
dispute,14,n,紛争
diversity,14,n,多様性
absolutely,15,adv,絶対に
abundantly,15,adv,豊富に
accordingly,15,adv,それに応じて
accurately,15,adv,正確に
allegedly,15,adv,伝えられるところでは
analogous,15,adj,類似した
ancestral,15,adj,祖先の
anonymous,15,adj,匿名の
apparently,15,adv,見たところ
arable,15,adj,耕作に適した
arid,15,adj,乾燥した
arrogant,15,adj,傲慢な
ashamed,15,adj,恥じている
authoritative,15,adj,権威ある
avid,15,adj,熱心な
beneficial,15,adj,有益な
bizarre,15,adj,奇妙な
bold,15,adj,大胆な
candid,15,adj,率直な
careless,15,adj,不注意な
casual,15,adj,何気ない
cautious,15,adj,慎重な
characteristic,15,adj;n,特徴的な;特徴
charitable,15,adj,慈善の
cheerful,15,adj,元気な
chronological,15,adj,年代順の
circular,15,adj,円形の
civilian,15,adj;n,民間の;民間人
clandestine,15,adj,秘密の
classified,15,adj,機密の
clumsy,15,adj,不器用な
coarse,15,adj,粗い
coincidental,15,adj,偶然の
colossal,15,adj,巨大な
commercial,15,adj,商業の
compulsory,15,adj,強制的な
conceivable,15,adj,考えうる
confidential,15,adj,機密の
congenital,15,adj,先天的な
conscious,15,adj,意識している
conservative,15,adj,保守的な
considerate,15,adj,思いやりのある
constructive,15,adj,建設的な
contagious,15,adj,伝染性の
conventional,15,adj,従来の
convincing,15,adj,説得力のある
cordial,15,adj,真心のある
corrupt,15,adj,腐敗した
cosmic,15,adj,宇宙の
counterfeit,15,adj,偽の
courageous,15,adj,勇敢な
courteous,15,adj,礼儀正しい
covert,15,adj,秘密の
credible,15,adj,信頼できる
critical,15,adj,批判的な;重大な
cruel,15,adj,残酷な
deliberate,15,adj,意図的な
demanding,15,adj,要求の多い
divine,15,adj,神聖な
duty,14,n,義務
dwelling,14,n,住居
ecosystem,14,n,生態系
edge,14,n,端;優位
emergency,14,n,緊急事態
empire,14,n,帝国
endeavor,14,n,努力
enterprise,14,n,事業
envy,14,n,羨望
era,14,n,時代
ethics,14,n,倫理
evolution,14,n,進化
exception,14,n,例外
exhibition,14,n,展覧会
existence,14,n,存在
expertise,14,n,専門知識
exploration,14,n,探検
extinction,14,n,絶滅
faculty,14,n,能力;学部
faith,14,n,信仰
fate,14,n,運命
flaw,14,n,欠点
fortune,14,n,幸運;財産
fragment,14,n,断片
frontier,14,n,辺境
glimpse,14,n,ちらりと見ること
grief,14,n,悲しみ
habit,14,n,習慣
heritage,14,n,遺産
hindrance,14,n,妨害
horizon,14,n,地平線
hostility,14,n,敵意
hue,14,n,色合い
humanity,14,n,人類;人間性
identity,14,n,アイデンティティ
ignorance,14,n,無知
illusion,14,n,錯覚
immunity,14,n,免疫
inhabitant,14,n,住人
