headword,sublist,pos,jp_meaning
image,5,n,イメージ;画像
liberal,5,adj,リベラルな;自由な
licence,5,n,免許;許可
logic,5,n,論理
margin,5,n,余白;利幅
medical,5,adj,医療の
mental,5,adj,精神の
modify,5,v,修正する
monitor,5,v;n,監視する;モニター
network,5,n,ネットワーク
notion,5,n,概念;考え
objective,5,n;adj,目的;客観的な
orient,5,v,方向づける
perspective,5,n,視点
precise,5,adj,正確な
prime,5,adj,主要な;最高の
psychology,5,n,心理学
pursue,5,v,追求する
ratio,5,n,比率
reject,5,v,拒絶する
revenue,5,n,収益
stable,5,adj,安定した
style,5,n,スタイル
substitute,5,n;v,代用品;代用する
sustain,5,v,維持する
symbol,5,n,シンボル
target,5,n;v,標的;ターゲットにする
transit,5,n,輸送
trend,5,n,傾向;トレンド
version,5,n,版;バージョン
welfare,5,n,福祉
whereas,5,conj,一方で
abstract,6,adj;n,抽象的な;要約
accurate,6,adj,正確な
acknowledge,6,v,認める;認識する
aggregate,6,n;adj,集合体;合計の
allocate,6,v,割り当てる
assign,6,v,割り当てる
attach,6,v,取り付ける;添付する
author,6,n,著者
bond,6,n,結合;絆
brief,6,adj,簡潔な
capable,6,adj,有能な
cite,6,v,引用する
cooperate,6,v,協力する
discriminate,6,v,差別する;識別する
display,6,v;n,表示する;展示
diverse,6,adj,多様な
domain,6,n,領域
edit,6,v,編集する
enhance,6,v,高める
estate,6,n,財産;土地
exceed,6,v,超える
expert,6,n,専門家
explicit,6,adj,明示的な
federal,6,adj,連邦の
fee,6,n,料金
flexible,6,adj,柔軟な
furthermore,6,adv,さらに
gender,6,n,ジェンダー;性別
ignorant,6,adj,無知な
incentive,6,n,動機;インセンティブ
incidence,6,n,発生率
incorporate,6,v,組み込む;法人化する
index,6,n,索引;指数
inhibit,6,v,抑制する
initiate,6,v,開始する
input,6,n,入力
instruct,6,v,指示する
intelligent,6,adj,知的な
interval,6,n,間隔
lecture,6,n,講義
migrate,6,v,移住する
minimum,6,n;adj,最小;最小の
ministry,6,n,省;聖職
motive,6,n,動機
neutral,6,adj,中立の
nevertheless,6,adv,それにもかかわらず
overseas,6,adv;adj,海外で;海外の
precede,6,v,先行する
presume,6,v,推定する
rational,6,adj,合理的な
recover,6,v,回復する
reveal,6,v,明らかにする
scope,6,n,範囲
subsidy,6,n,補助金
tape,6,n,テープ
trace,6,v;n,追跡する;跡
transform,6,v,変換する
transport,6,n;v,輸送;輸送する
underlie,6,v,根底にある
utilise,6,v,利用する
adapt,7,v,適応する
adult,7,n,成人
advocate,7,n;v,提唱者;主張する
aid,7,n;v,援助;援助する
channel,7,n,チャンネル;経路
chemical,7,n;adj,化学物質;化学の
classic,7,adj,古典的な
comprehensive,7,adj,包括的な
comprise,7,v,構成する;含む
confirm,7,v,確認する
contrary,7,adj,反対の
convert,7,v,変換する
couple,7,n,組;カップル
decade,7,n,10年
definite,7,adj,明確な
deny,7,v,否定する
differentiate,7,v,区別する
dispose,7,v,処分する;配置する
dynamic,7,adj,動的な
eliminate,7,v,排除する
empirical,7,adj,経験的な
equip,7,v,装備する
extract,7,v;n,抽出する;抜粋
file,7,n,ファイル
finite,7,adj,有限の
foundation,7,n,基礎;財団
globe,7,n,地球;球
grade,7,n,等級;成績
guarantee,7,v;n,保証する;保証
hierarchy,7,n,階層
identical,7,adj,同一の
ideology,7,n,イデオロギー
infer,7,v,推論する
innovate,7,v,革新する
insert,7,v,挿入する
intervene,7,v,介入する
isolate,7,v,孤立させる;分離する
media,7,n,メディア
mode,7,n,様式;モード
paradigm,7,n,パラダイム
phenomenon,7,n,現象
priority,7,n,優先順位
prohibit,7,v,禁止する
publication,7,n,出版;刊行物
quote,7,v;n,引用する;引用
release,7,v,解放する;公開する
reverse,7,v;adj,逆にする;逆の
simulate,7,v,模擬する
sole,7,adj,唯一の
somewhat,7,adv,いくぶん
submit,7,v,提出する;服従する
successor,7,n,後継者
survive,7,v,生き残る
thesis,7,n,論文;命題
topic,7,n,話題
transmit,7,v,送信する
ultimate,7,adj,究極の
unique,7,adj,独特の
visible,7,adj,目に見える
voluntary,7,adj,自発的な
abandon,8,v,捨てる;放棄する
accompany,8,v,同伴する
accumulate,8,v,蓄積する
ambiguous,8,adj,曖昧な
append,8,v,付け加える
appreciate,8,v,真価を認める;感謝する
arbitrary,8,adj,任意の;恣意的な
automate,8,v,自動化する
bias,8,n,偏見;バイアス
chart,8,n,図表
clarify,8,v,明確にする
commodity,8,n,商品;日用品
complement,8,n;v,補完物;補完する
conform,8,v,順応する
contemporary,8,adj,現代の
contradict,8,v,矛盾する
crucial,8,adj,重要な;決定的な
currency,8,n,通貨
denote,8,v,意味する;表す
detect,8,v,検出する
deviate,8,v,逸脱する
displace,8,v,置き換える
drama,8,n,劇;ドラマ
eventual,8,adj,最終的な
exhibit,8,v;n,展示する;展示
exploit,8,v,搾取する;活用する
fluctuate,8,v,変動する
guideline,8,n,指針
highlight,8,v;n,強調する;ハイライト
implicit,8,adj,暗黙の
induce,8,v,引き起こす;誘発する
inevitable,8,adj,避けられない
infrastructure,8,n,インフラ
inspect,8,v,検査する
intense,8,adj,激しい
manipulate,8,v,操作する
minimise,8,v,最小化する
nuclear,8,adj,核の
offset,8,v,相殺する
paragraph,8,n,段落
plus,8,prep,加えて
practitioner,8,n,実践者;開業医
predominant,8,adj,優勢な
prospect,8,n,見込み
radical,8,adj,根本的な;急進的な
random,8,adj,ランダムな
reinforce,8,v,強化する
restore,8,v,回復させる
revise,8,v,改訂する
schedule,8,n,予定
tense,8,adj;n,緊張した;時制
terminate,8,v,終了させる
theme,8,n,テーマ
thereby,8,adv,それによって
uniform,8,adj;n,均一の;制服
vehicle,8,n,乗り物;媒体
via,8,prep,経由で
virtual,8,adj,仮想の
visual,8,adj,視覚の
widespread,8,adj,広範囲の
accommodate,9,v,収容する;適応させる
analogy,9,n,類推
anticipate,9,v,予測する
assure,9,v,保証する
attain,9,v,達成する
behalf,9,n,(on behalf of)を代表して
bulk,9,n,大部分;かさ
cease,9,v,やめる;停止する
coherent,9,adj,首尾一貫した
coincide,9,v,一致する
commence,9,v,開始する
compatible,9,adj,互換性のある
concurrent,9,adj,同時の
confine,9,v,制限する
controversy,9,n,論争
converse,9,n;v,逆;会話する
device,9,n,装置
devote,9,v,捧げる
diminish,9,v,減少する
distort,9,v,歪める
duration,9,n,期間
erode,9,v,浸食する
ethic,9,n,倫理
format,9,n,形式
found,9,v,設立する
inherent,9,adj,固有の
insight,9,n,洞察
integral,9,adj,不可欠な;統合的な
intermediate,9,adj,中間の
manual,9,adj;n,手の;マニュアル
mature,9,adj,成熟した
mediate,9,v,仲介する
medium,9,n,媒体
military,9,adj,軍の
minimal,9,adj,最小の
mutual,9,adj,相互の
norm,9,n,規範
overlap,9,v;n,重なる;重複
passive,9,adj,受動的な
portion,9,n,部分
preliminary,9,adj,予備の
protocol,9,n,プロトコル
qualitative,9,adj,質的な
refine,9,v,精製する;洗練する
relax,9,v,くつろぐ;緩和する
restrain,9,v,抑制する
revolution,9,n,革命
rigid,9,adj,硬い
route,9,n,経路
scenario,9,n,シナリオ
sphere,9,n,球;領域
subordinate,9,adj,下位の
supplement,9,n;v,補足;補う
suspend,9,v,中断する;吊るす
team,9,n,チーム
temporary,9,adj,一時的な
trigger,9,v;n,引き起こす;引き金
unify,9,v,統一する
violate,9,v,違反する
vision,9,n,視覚;ビジョン
adjacent,10,adj,隣接した
albeit,10,conj,であるけれども
assemble,10,v,組み立てる;集める
collapse,10,v,崩壊する
colleague,10,n,同僚
compile,10,v,編纂する
conceive,10,v,思いつく;妊娠する
convince,10,v,確信させる
depress,10,v,落胆させる
encounter,10,v,出会う
enormous,10,adj,巨大な
forthcoming,10,adj,来るべき
incline,10,v,傾く;傾向がある
integrity,10,n,誠実;完全性
intrinsic,10,adj,本質的な
invoke,10,v,呼び起こす;発動する
levy,10,n;v,税金;課税する
likewise,10,adv,同様に
nonetheless,10,adv,それにもかかわらず
notwithstanding,10,prep,にもかかわらず
odd,10,adj,奇妙な;奇数の
ongoing,10,adj,進行中の
panel,10,n,パネル
persist,10,v,持続する
pose,10,v,(問題を)提起する;ポーズをとる
reluctance,10,n,気乗りしないこと
so-called,10,adj,いわゆる
straightforward,10,adj,率直な
undergo,10,v,(経験を)受ける
whereby,10,adv,それによって
